state_code,canonical_name,population,literacy_rate,area_sq_km,num_districts
AP,Andhra Pradesh,49386799,67.7,160205,13
AR,Arunachal Pradesh,1382611,66.9,83743,25
AS,Assam,31169272,73.2,78438,33
BR,Bihar,103804637,63.8,94163,38
CG,Chhattisgarh,25540196,71.0,135192,27
GA,Goa,1457723,87.4,3702,2
GJ,Gujarat,60383628,79.3,196244,33
HR,Haryana,25353081,76.6,44212,22
HP,Himachal Pradesh,6856509,83.8,55673,12
JH,Jharkhand,32966238,67.6,79716,24
KA,Karnataka,61130704,75.6,191791,30
KL,Kerala,33387677,93.9,38852,14
MP,Madhya Pradesh,72597565,70.6,308245,52
MH,Maharashtra,112372972,82.9,307713,36
MN,Manipur,2721756,79.8,22327,16
ML,Meghalaya,2964007,75.5,22429,11
MZ,Mizoram,1091014,91.6,21081,11
NL,Nagaland,1980602,80.1,16579,12
OR,Odisha,41947358,73.5,155707,30
PB,Punjab,27704236,76.7,50362,23
RJ,Rajasthan,68621012,67.1,342239,33
SK,Sikkim,607688,82.2,7096,4
TN,Tamil Nadu,72138958,80.3,130060,38
TG,Telangana,35193978,66.5,112077,33
TR,Tripura,3671032,87.8,10486,8
UP,Uttar Pradesh,199581477,69.7,240928,75
UK,Uttarakhand,10116752,79.6,53483,13
WB,West Bengal,91347736,77.1,88752,23
AN,Andaman and Nicobar Islands,379944,86.3,8249,3
CH,Chandigarh,1054686,86.4,114,1
DD,Dadra and Nagar Haveli and Daman and Diu,585764,77.7,603,3
DL,Delhi,16753235,86.3,1484,11
JK,Jammu and Kashmir,12548926,68.7,42241,20
LA,Ladakh,274289,77.7,59146,2
LD,Lakshadweep,64429,92.3,32,1
PY,Puducherry,1244464,86.6,492,4
